Colonna 1,Colonna 2,ID,coreografia,brano,autore,richieste,info livello,info coreo 1,info coreo 2,studiate,coreografo,collaboratori,descrizione coreo
,,167,FIRST STOMP,old pop in a oak,rednex,4,BASE,STAGE,,,Emma D'Adamo,,16 conteggi 4 muri
,,168,FIVE MINUTES,texas as hell,miranda lambert,2,ALTRE COREO,COPPIA,,,David Villelas
,,169,FLASHDANCE,still in love with you,travis tritt,2,AVANZATO 1,,,,Debbie Hogg,,64 conteggi 2 muri
,,170,FLICK FLAK,freag flag,alex williams,2,ALTRE COREO
,,171,FLOBIE SLIDE,i'm holdin'on to love,shania twain,2,ALTRE COREO
,,172,FLOWERS,flowers,miley cyrus,4,AVANZATO 2,,,,Vanna Zerlotin,,32 conteggi 2 muri
,,173,FOOLISH HEART,mary,zac brown band,2,AVANZATO 1,,,,David Villelas,,80 conteggi 4 muri
,,174,FOOTLOOSE,footloose,blake shelton,6,INTERMEDIO,,,,Rob Fowler,,48 conteggi 4 muri
,,175,FOR BETTER FOR WORSE,for better for worse,old man markley,4,ALTRE COREO
,,176,FOREVER,27 in the checking,kendall shaffer,2,ALTRE COREO
,,177,FOREVER YOUNG,young forever,high valley,2,ALTRE COREO
,,178,FORGIVE ME FRIEND,forgive me friend,smith & thell,4,AVANZATO 1,,,,Helena Jeppsson,,32 conteggi 4 muri restart al 9° e 10° muro sempre dopo 30 conteggi
,,179,FOUR STAR BOOGIE,get over it,eagles,2,ALTRE COREO
,,180,FRENCH KISS,our first kiss,jeff wood,2,ALTRE COREO
,,181,FRIENDS,you've been a friend to me,bryan adams,2,AVANZATO 2,,,,Ambros Sillero,,64 conteggi 2 muri
,,182,FROM A TO Z,trip around the sound,kenny chesney,2,ALTRE COREO
,,183,FUNNY JOKE,no night like this,cath purcell,2,ALTRE COREO,,,,Bruno Morel,,16 conteggi 4 muri
,,184,GALWAY GATHERING,games people play,tracy bird,2,ALTRE COREO
,,185,GAME ON,justin sayin,james parker band,2,ALTRE COREO
,,186,GET ALONG,get along,surrender hill,4,SUPER AVANZATO 3,,,,Jgor Pasin,,32 conteggi 4 muri (1 restart al 4° muro dopo 24 conteggi e 1 restart all' 8° muro dopo 8 conteggi)
,,187,GET UP !,up,olly murs,2,SUPER AVANZATO 1+2
,,188,GHOST TOWN,ghost town,sam outlaw,4,BASE,,,,Arnaud Marraffa,,32 conteggi 4 muri 1 restart all' 11° muro
,,189,GIDDY UP!,giddy up!,shania twain,4,ALTRE COREO,,,,Fabio Terzoni,Big Andrea
,,190,GIVES ME SHIVERS,shivers,ed sheeran,2,ALTRE COREO,,,,Brandon Zahorsky,,32 conteggi 4 muri
,,191,GLASS OF WINE,cry to me,kilotile,2,BASE,,,,Malene Jakobsen,,32 conteggi 4 muri
