"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3","(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3","(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E","C:\VSC_MP3\(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3",".mp3","7367780","2026-08-25T11:41:58.089Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3","(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3","(TUSH PUSH)- Santa Looked Alot Like Daddy","C:\VSC_MP3\(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3",".mp3","6149806","2026-08-25T11:41:58.026Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(URBAN LIFE) Gotta Be Somebody.mp3","(URBAN LIFE) Gotta Be Somebody.mp3","(URBAN LIFE) Gotta Be Somebody","C:\VSC_MP3\(URBAN LIFE) Gotta Be Somebody.mp3",".mp3","5907538","2026-08-25T11:41:58.136Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(URBAN LIFE) Keith Urban- Better Life.mp3","(URBAN LIFE) Keith Urban- Better Life.mp3","(URBAN LIFE) Keith Urban- Better Life","C:\VSC_MP3\(URBAN LIFE) Keith Urban- Better Life.mp3",".mp3","7004932","2026-08-25T11:41:58.188Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WALKING THE LINE)  Breathless.mp3","(WALKING THE LINE)  Breathless.mp3","(WALKING THE LINE)  Breathless","C:\VSC_MP3\(WALKING THE LINE)  Breathless.mp3",".mp3","5951245","2026-08-25T11:41:58.235Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WALKING THE LINE) 4th of July.mp3","(WALKING THE LINE) 4th of July.mp3","(WALKING THE LINE) 4th of July","C:\VSC_MP3\(WALKING THE LINE) 4th of July.mp3",".mp3","6395108","2026-08-25T11:41:58.287Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WALKING THE LINE) Crazy-ALEE.mp3","(WALKING THE LINE) Crazy-ALEE.mp3","(WALKING THE LINE) Crazy-ALEE","C:\VSC_MP3\(WALKING THE LINE) Crazy-ALEE.mp3",".mp3","6136914","2026-08-25T11:41:58.335Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3","(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3","(WALKING THE LINE) Walking the Line-Dave Sheriff","C:\VSC_MP3\(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3",".mp3","3278551","2026-08-25T11:41:58.372Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WALKING THE LINE) Wild Angels.mp3","(WALKING THE LINE) Wild Angels.mp3","(WALKING THE LINE) Wild Angels","C:\VSC_MP3\(WALKING THE LINE) Wild Angels.mp3",".mp3","5412068","2026-08-25T11:41:58.412Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WESTERN STYLE) - Can_t Get Myself Over.mp3","(WESTERN STYLE) - Can_t Get Myself Over.mp3","(WESTERN STYLE) - Can_t Get Myself Over","C:\VSC_MP3\(WESTERN STYLE) - Can_t Get Myself Over.mp3",".mp3","6441400","2026-08-25T11:41:58.460Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WESTERN STYLE) No one needs to Know -Shania Twain.mp3","(WESTERN STYLE) No one needs to Know -Shania Twain.mp3","(WESTERN STYLE) No one needs to Know -Shania Twain","C:\VSC_MP3\(WESTERN STYLE) No one needs to Know -Shania Twain.mp3",".mp3","2889378","2026-08-25T11:41:58.486Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(WESTERN STYLE) Tell Me Why.mp3","(WESTERN STYLE) Tell Me Why.mp3","(WESTERN STYLE) Tell Me Why","C:\VSC_MP3\(WESTERN STYLE) Tell Me Why.mp3",".mp3","5483540","2026-08-25T11:41:58.526Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(YES!) Yes!.mp3","(YES!) Yes!.mp3","(YES!) Yes!","C:\VSC_MP3\(YES!) Yes!.mp3",".mp3","4837166","2026-08-25T11:41:58.566Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","01 001 (101) Lost In the Shuffle.mp3","01 001 (101) Lost In the Shuffle.mp3","01 001 (101) Lost In the Shuffle","C:\VSC_MP3\01 001 (101) Lost In the Shuffle.mp3",".mp3","5197655","2026-08-25T11:41:58.609Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","01 044 (BILL_S BASIC) Winter Wonderland.mp3","01 044 (BILL_S BASIC) Winter Wonderland.mp3","01 044 (BILL_S BASIC) Winter Wonderland","C:\VSC_MP3\01 044 (BILL_S BASIC) Winter Wonderland.mp3",".mp3","5074148","2026-08-25T11:41:58.649Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","01 229 (IRISH STEW) Cowboy_s Sweetheart.mp3","01 229 (IRISH STEW) Cowboy_s Sweetheart.mp3","01 229 (IRISH STEW) Cowboy_s Sweetheart","C:\VSC_MP3\01 229 (IRISH STEW) Cowboy_s Sweetheart.mp3",".mp3","3716826","2026-08-25T11:41:58.682Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","01 536 (ELECTRIC SLIDE) No Rompas Mi Corazón.mp3","01 536 (ELECTRIC SLIDE) No Rompas Mi Corazón.mp3","01 536 (ELECTRIC SLIDE) No Rompas Mi Corazón","C:\VSC_MP3\01 536 (ELECTRIC SLIDE) No Rompas Mi Corazón.mp3",".mp3","5308624","2026-08-25T11:41:58.724Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","02 018 (AA) AA.mp3","02 018 (AA) AA.mp3","02 018 (AA) AA","C:\VSC_MP3\02 018 (AA) AA.mp3",".mp3","4555043","2026-08-25T11:41:58.763Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","02 051 (BLACK COFFEE) The Salt in My Tears.mp3","02 051 (BLACK COFFEE) The Salt in My Tears.mp3","02 051 (BLACK COFFEE) The Salt in My Tears","C:\VSC_MP3\02 051 (BLACK COFFEE) The Salt in My Tears.mp3",".mp3","5514260","2026-08-25T11:41:58.806Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","02 063 (BUDDY) One step forward.mp3","02 063 (BUDDY) One step forward.mp3","02 063 (BUDDY) One step forward","C:\VSC_MP3\02 063 (BUDDY) One step forward.mp3",".mp3","5855107","2026-08-25T11:41:58.858Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","02 095 (CHEYENNE) White Christmas.mp3","02 095 (CHEYENNE) White Christmas.mp3","02 095 (CHEYENNE) White Christmas","C:\VSC_MP3\02 095 (CHEYENNE) White Christmas.mp3",".mp3","4255993","2026-08-25T11:41:58.892Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","02 448 (WE WENT) We Went.mp3","02 448 (WE WENT) We Went.mp3","02 448 (WE WENT) We Went","C:\VSC_MP3\02 448 (WE WENT) We Went.mp3",".mp3","4328091","2026-08-25T11:41:58.925Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","04 025 (AMERICAN KIDS) American Kids.mp3","04 025 (AMERICAN KIDS) American Kids.mp3","04 025 (AMERICAN KIDS) American Kids","C:\VSC_MP3\04 025 (AMERICAN KIDS) American Kids.mp3",".mp3","4397682","2026-08-25T11:41:58.995Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","04 041 (BILL_S BASIC) I Don_t Need the Booze (to Get a Buzz On).mp3","04 041 (BILL_S BASIC) I Don_t Need the Booze (to Get a Buzz On).mp3","04 041 (BILL_S BASIC) I Don_t Need the Booze (to Get a Buzz On)","C:\VSC_MP3\04 041 (BILL_S BASIC) I Don_t Need the Booze (to Get a Buzz On).mp3",".mp3","4697985","2026-08-25T11:41:59.031Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","052 (BLACK COFFEE) Undone.mp3","052 (BLACK COFFEE) Undone.mp3","052 (BLACK COFFEE) Undone","C:\VSC_MP3\052 (BLACK COFFEE) Undone.mp3",".mp3","4894217","2026-08-25T11:41:59.402Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","06 (COWBOY BIG UP) Cowboy Up.mp3","06 (COWBOY BIG UP) Cowboy Up.mp3","06 (COWBOY BIG UP) Cowboy Up","C:\VSC_MP3\06 (COWBOY BIG UP) Cowboy Up.mp3",".mp3","5076029","2026-08-25T11:41:59.069Z"
